claim_id,section,page,subsection,verbatim_text,category,weight,classification_rationale,boundary_case,required_elements_numeric,required_elements_deadline,required_elements_baseline,required_elements_scope,tactic_flags
MS_001,Climate,43,Climate Strategy,"Aiming to achieve net-zero financed emissions by 2050 with 2030 interim sector targets for our most carbon-intensive sectors in our corporate lending portfolio (compared to the 2019 base year)",QuantitativeTarget,1.2,"Contains specific deadline (2050), baseline year (2019), numeric target (net-zero), and scope (financed emissions in corporate lending)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_002,Climate,45,Climate Ambitions,"We remain focused on making progress toward our 2030 financed emissions targets by contributing to real-economy decarbonization efforts",VagueTarget,-0.8,"Uses vague qualifier 'making progress toward' without specific numeric reduction target or absolute values. Deadline present but lacks quantification",FALSE,FALSE,TRUE,FALSE,FALSE,""
MS_003,Climate,45,Financed Emissions,"We aim to reduce our financed emissions by providing our clients with the advice and capital required to transform business models and reduce their own carbon intensity",VagueTarget,-0.8,"Uses hedging verb 'aim to' and lacks specific numeric target, deadline, or baseline. No quantitative commitment",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_004,Sustainable Finance,8,Target Progress,"Across our businesses we continue to make progress toward mobilizing $1 trillion in sustainable finance by 2030",QuantitativeTarget,1.2,"Contains specific numeric target ($1 trillion), clear deadline (2030), and measurable scope (sustainable finance). Baseline is implicit (from target inception)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_005,Sustainable Finance,7,2023 Highlights,"$820Bn+ in capital mobilized toward our goal of $1Tn by 2030, including $640Bn+ in low-carbon and green solutions",VerifiedClaim,1.2,"Retrospective performance claim with specific numeric outcome ($820B mobilized, $640B in low-carbon), clear scope, and context against $1T goal. Contains absolute values",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_006,Sustainable Finance,11,ESG Debt,"$97Bn+ ESG-labeled debt transactions in 2023",VerifiedClaim,1.2,"Retrospective claim with specific numeric outcome ($97B), defined time period (2023), and clear scope (ESG-labeled debt)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_007,Climate,47,Operations,"Maintained carbon neutral status and 100% renewable electricity throughout 2023",VerifiedClaim,1.2,"Retrospective performance claim with specific outcome (carbon neutral, 100% renewable), clear timeframe (2023), and defined scope (operations)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_008,Climate,45,Climate Transition,"We are committed to engaging with clients on climate transition strategies to help move the world to net-zero emissions by 2050",VagueTarget,-0.8,"Generic commitment language without firm-specific targets or actions. No quantification of engagement metrics or measurable outcomes",FALSE,FALSE,TRUE,FALSE,FALSE,""
MS_009,Climate,46,CSAF Results,"Approximately 80% of our total committed financing to these sectors is tied to companies that we consider to have a medium or high-quality transition plan in place",VerifiedClaim,1.2,"Retrospective assessment with specific percentage (80%), defined scope (committed financing to interim target sectors), and clear baseline context",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_010,Climate,46,Client Targets,"More than half of our clients across these three sectors have long-term operational (scopes 1 and 2) targets to reach net-zero by 2050",VerifiedClaim,1.2,"Specific quantitative finding (>50%), defined scope (three interim target sectors, Scopes 1&2), clear timeframe context (net-zero by 2050)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_011,Climate,46,Power Sector,"Over 60% of our Power clients have explicit targets to increase renewable generation capacity and/or phase down (or eliminate) coal-fired generation capacity",VerifiedClaim,1.2,"Specific percentage (60%), defined client segment (Power), specific actions (increase renewables/phase down coal)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_012,Climate,46,Auto Manufacturing,"All of our Automobile Manufacturing clients have plans to increase production of electric vehicles (EVs), with many targeting to have >50% of global sales from EVs by 2030 or sooner",VerifiedClaim,1.2,"Specific quantification (all clients, >50% of sales), clear deadline (2030), defined sector (Auto Manufacturing)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_013,Sustainable Finance,13,Renewable Energy,"In 2023, the Commodities team structured hedging transactions and offtake agreements involving more than 5.7 million MWhs of renewable energy",VerifiedClaim,1.2,"Retrospective claim with specific volume (5.7M MWhs), clear timeframe (2023), defined scope (renewable energy from wind/solar/hydro)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_014,Climate,44,Guiding Principles,"Morgan Stanley will focus on working with our clients across sectors as they develop decarbonization plans that seek to reduce their own emissions",VagueTarget,-0.8,"General statement of intention without specific targets, metrics, or measurable outcomes. Uses hedging language 'seek to'",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_015,Climate,44,Support Clients,"As a global leader in financial services, we will continue to develop and distribute innovative products and solutions that serve our clients and help them achieve their climate-related ambitions",NonClaim,0,"Generic values statement without specific actions, metrics, or commitments. Pure aspirational language",FALSE,FALSE,FALSE,FALSE,FALSE,""
